date,Open,High,Low,Close,Change,Change%,Volume('000 shares)
2020/9/28,74.9,76.9,74.8,76.9,2.6,3.5,32250.992
2020/9/29,77.3,78.4,77,77,0.1,0.13,36475.973
2020/9/30,78,78,77.3,77.4,0.4,0.52,19229.698
2020/10/5,78.2,78.5,77.5,77.7,0.3,0.39,19075.464
2020/10/6,78.1,78.2,77.6,77.8,0.1,0.13,16976.308
2020/10/7,77.4,77.8,77.1,77.4,-0.4,-0.51,17236.406
2020/10/8,77.8,78,77.5,78,0.6,0.78,14942.266
2020/10/12,78.4,78.8,78.1,78.7,0.7,0.9,38085.427
2020/10/13,79,79.1,78.1,78.9,0.2,0.25,22946.661
2020/10/14,78.1,78.8,78,78,-0.9,-1.14,42431.974
2020/10/15,77.7,78.5,77.6,78.1,0.1,0.13,26260.704
2020/10/16,78.4,79.9,78.2,78.6,0.5,0.64,48409.062
2020/10/19,80,81.5,79.7,81.3,2.7,3.44,85721.985
2020/10/20,81.5,82,80.8,81.4,0.1,0.12,45688.857
2020/10/21,81.5,81.5,80.3,80.4,-1,-1.23,32456.107
2020/10/22,80.8,80.8,80.3,80.8,0.4,0.5,24773.904
2020/10/23,81.2,81.4,80.5,80.7,-0.1,-0.12,18968.821
2020/10/26,81.1,81.1,80,80.2,-0.5,-0.62,14376.6
2020/10/27,79.9,80,79.4,80,-0.2,-0.25,21240.221
2020/10/28,79.4,79.7,78.2,78.3,-1.7,-2.13,33914.127
2020/10/29,77.6,78.2,76.8,78,-0.3,-0.38,30618.945
2020/10/30,77.6,78.2,77.1,77.5,-0.5,-0.64,26399.018
2020/11/2,77.5,78.3,77.4,78.3,0.8,1.03,17820.319
2020/11/3,78.5,78.8,78.1,78.3,0,0,14624.015
2020/11/4,78.4,79.4,78,78.8,0.5,0.64,18927.508
2020/11/5,79,79.3,78.5,79,0.2,0.25,14675.062
2020/11/6,79.6,79.9,79.3,79.7,0.7,0.89,21927.838
2020/11/9,80.7,81.5,80.5,81.2,1.5,1.88,42301.888
2020/11/10,81.1,81.2,80.3,80.8,-0.4,-0.49,21869.925
2020/11/11,80.8,81.7,80.4,81.6,0.8,0.99,36850.179
2020/11/12,81.7,82,80.8,81.9,0.3,0.37,44996.299
2020/11/13,81.9,82,80.9,81.4,-0.5,-0.61,32250.189
2020/11/16,82,82.9,81.9,82.6,1.2,1.47,50715.538
2020/11/17,83.1,83.3,82.3,83,0.4,0.48,45390.693
2020/11/18,82.9,83.4,82.7,83.2,0.2,0.24,30992.749
2020/11/19,82.7,83.2,82.5,82.9,-0.3,-0.36,23992.52
